"Path","Lines","KB"
"pages\Reports.tsx","1755","61,5"
"lib\changelog.ts","1625","83,7"
"pages\Dashboard.tsx","1425","54,5"
"pages\AIAsistan.tsx","1354","47,9"
"pages\Suppliers.tsx","1265","44,8"
"pages\settings\SettingsBackup.tsx","1156","48,4"
"pages\Monitor.tsx","1147","39,6"
"pages\BugHunter.tsx","1070","33,7"
"pages\Bank.tsx","1010","35,9"
"pages\Cari.tsx","977","35,7"
"pages\Products.tsx","811","29,1"
"pages\AnomaliOneri.tsx","793","26,5"
"pages\Cizelge.tsx","769","26"
"pages\DashboardStrateji.tsx","760","29,2"
"pages\Fatura.tsx","698","24,3"
"pages\Partners.tsx","689","21,2"
"components\ui\sidebar.tsx","673","21,3"
"pages\DashboardFinans.tsx","658","26,5"
"pages\DashboardOperasyon.tsx","656","25,6"
"lib\excel-merge.ts","654","23,4"
"pages\excelmerge\ai-asistan.tsx","628","27,7"
"components\QuantumLink.tsx","605","23,7"
"pages\KontrolHalkasi.tsx","588","22,4"
"pages\pageHelpers.tsx","575","14"
"pages\FaturaPreview.tsx","573","21,4"
"lib\anomalyEngine.ts","563","20,3"
"lib\dataIntegrityChecker.ts","546","21,3"
"pages\Sales.tsx","512","18,2"
"pages\DashboardTicaret.tsx","510","19,8"
"App.tsx","502","19"
"lib\aiActions.ts","492","18"
"types\index.ts","489","15,1"
"pages\ConsoleKayit.tsx","472","17,6"
"pages\CariDetail.tsx","461","15,2"
"hooks\db\backup.ts","451","14"
"pages\excelmerge\merge.tsx","443","22,5"
"pages\SaleFormModal.tsx","423","13,9"
"pages\Butce.tsx","406","28,1"
"pages\excelmerge\diff.tsx","397","15"
"pages\Stock.tsx","388","27,3"
"pages\Kasa.tsx","386","22,1"
"pages\settings\SettingsSecurity.tsx","379","14,1"
"pages\FaturaForm.tsx","379","13,2"
"components\LoginScreen.tsx","374","16,6"
"lib\userManager.ts","358","13,8"
"lib\logger.ts","350","11,3"
"pages\SettingsArayuz.tsx","344","14,2"
"pages\ExcelImport.tsx","341","19,6"
"components\ui\chart.tsx","332","10,5"
"components\NotificationCenter.tsx","328","16,9"
"pages\settings\SettingsRepair.tsx","327","13,4"
"pages\settings\SettingsAgentPanel.tsx","315","11,4"
"lib\aiOffline.ts","312","13,6"
"pages\SaleDetail.tsx","306","11,3"
"pages\SettingsBaglanti.tsx","304","13,2"
"pages\Settings.tsx","292","12,3"
"hooks\useUIPrefs.ts","291","11,4"
"pages\settings\SettingsAboutPanel.tsx","284","11,2"
"lib\offline-ai.ts","283","10,1"
"pages\OrtakEmanet.tsx","280","10,8"
"lib\healthCheck.ts","273","13,2"
"pages\ProductDetail.tsx","273","10"
"agents\SatisAgent.ts","272","10,3"
"pages\excelmerge\temizle.tsx","268","12,8"
"lib\db\storage.ts","257","7,7"
"hooks\useSoundFeedback.ts","245","9,2"
"pages\excelmerge\search.tsx","243","11,7"
"lib\auditEngine.ts","238","9,8"
"components\ui\menubar.tsx","236","8,4"
"components\QuickSaleModal.tsx","234","7"
"lib\ruleEngine.ts","233","8,6"
"components\ui\carousel.tsx","231","6,1"
"pages\Notlar.tsx","226","13,8"
"components\ui\field.tsx","225","5,9"
"pages\excelmerge\preview.tsx","225","8,3"
"pages\AIEylemLog.tsx","209","8,2"
"pages\Pelet.tsx","208","16,3"
"pages\excelmerge\upload.tsx","206","9"
"components\ui\calendar.tsx","205","7,5"
"pages\ai\AIASettings.tsx","203","5,5"
"components\ai\VoiceAgentUI.tsx","196","7,9"
"hooks\db\index.ts","192","7"
"lib\consoleRecorder.ts","186","5,5"
"components\layout\Sidebar.tsx","185","7,9"
"domain\services\saleCompletion.ts","183","5,9"
"components\ui\dropdown-menu.tsx","183","7,4"
"components\ui\context-menu.tsx","181","7,2"
"components\ui\item.tsx","179","4,4"
"pages\BoruTed.tsx","175","12,9"
"lib\safeXlsx.ts","173","6,6"
"pages\settings\SettingsSound.tsx","169","7,5"
"pages\settings\SettingsKategoriYonetim.tsx","162","5,9"
"theme\themes.ts","159","7,7"
"components\ui\input-group.tsx","154","4,9"
"components\ui\form.tsx","151","4,1"
"components\MobileSelect.tsx","149","6,6"
"components\ui\select.tsx","146","5,6"
"lib\connConfig.ts","145","5,6"
"components\ui\command.tsx","143","5,1"
"components\QuickProductModal.tsx","142","4,2"
"components\SkeletonLoaders.tsx","136","3,5"
"config\tabs.ts","135","4,8"
"components\IconPicker.tsx","134","6,5"
"hooks\db\useDBBackup.ts","131","4,3"
"pages\settings\SettingsExcel.tsx","130","5"
"lib\specs\component-rules.ts","128","5,2"
"hooks\useSpeech.ts","128","5,3"
"agents\DeepSeekAgent.ts","127","5,6"
"components\ui\alert-dialog.tsx","126","4,3"
"components\ui\sheet.tsx","125","4,2"
"lib\safeIO.ts","124","4"
"hooks\db\sync.ts","123","4,2"
"pages\settings\SettingsData.tsx","123","4,6"
"components\SystemMap.tsx","121","6,4"
"lib\specs\data-rules.ts","120","4,1"
"lib\firebase.ts","119","3,8"
"theme\ThemeProvider.tsx","118","3,8"
"components\ui\navigation-menu.tsx","117","5"
"lib\crypto.ts","115","4,1"
"lib\notificationEngine.ts","115","6,1"
"components\settings\DashboardSection.tsx","113","4,8"
"lib\aiKeys.ts","112","4,5"
"pages\settings\SettingsActivity.tsx","111","4,3"
"components\layout\ReportButton.tsx","110","4"
"components\ui\table.tsx","110","2,8"
"components\ui\dialog.tsx","108","3,7"
"lib\permissions.ts","108","4"
"components\ui\pagination.tsx","107","2,7"
"components\layout\GlobalSearch.tsx","106","4,1"
"components\ui\breadcrumb.tsx","105","2,6"
"lib\excelExport.ts","105","4,5"
"components\QuickIncomeModal.tsx","104","3"
"pages\Perf.tsx","104","4,4"
"components\ui\drawer.tsx","104","2,9"
"components\ConfirmDialog.tsx","102","3,8"
"components\layout\FAB.tsx","102","4,2"
"lib\utils-tr.ts","100","3,4"
"lib\dbUtils.ts","99","3,9"
"pages\FaturaHelpers.utils.ts","96","3,2"
"components\layout\Header.tsx","96","3,8"
"components\ui\empty.tsx","95","2,3"
"lib\aiApi.ts","95","3"
"hooks\db\dbHelpers.ts","91","3"
"pages\settings\SettingsCompany.tsx","90","2,9"
"agents\satisHelpers.ts","90","2,5"
"components\ThemeButton.tsx","88","2,2"
"pages\Entegrasyonlar.tsx","88","8,1"
"hooks\useVoiceAgent.ts","88","3,2"
"lib\seedData.ts","86","5,1"
"lib\appConfig.ts","84","3,6"
"components\ErrorBoundary.tsx","82","3,5"
"lib\specs\error-rules.ts","82","3,1"
"domain\types.ts","76","1,9"
"components\settings\FloatingButtonsSection.tsx","76","2,9"
"components\ui\button-group.tsx","76","2,2"
"pages\SpecDashboard.tsx","73","3,3"
"agents\RaporAgent.ts","73","2,4"
"components\settings\TypographySection.tsx","70","2,5"
"components\Modal.tsx","70","2,1"
"components\ui\card.tsx","68","1,8"
"pages\FaturaHelpers.tsx","66","1,6"
"pages\settings\SettingsPelet.tsx","65","2,1"
"theme\types.ts","65","1,8"
"components\settings\AnimationSection.tsx","65","2,7"
"components\settings\ThemeSection.tsx","65","2,3"
"components\Toast.tsx","64","2,1"
"components\ui\input-otp.tsx","64","2,2"
"hooks\useVoiceAssistant.ts","62","2,1"
"components\ui\button.tsx","60","2,3"
"hooks\useDraggableButton.ts","60","1,6"
"pages\ExcelMerge.tsx","59","2,8"
"lib\specs\navigation-rules.ts","58","2,4"
"agents\types.ts","57","1,2"
"lib\version.ts","55","1,5"
"agents\orchestrator.ts","55","1,8"
"components\layout\UserMenu.tsx","54","1,9"
"components\ui\alert.tsx","53","1,6"
"components\ui\toggle-group.tsx","52","1,7"
"lib\voiceIntent.ts","52","2,1"
"lib\voiceEngine.ts","52","1,8"
"hooks\db\useDBActions.ts","50","1,2"
"components\VoiceAssistantButton.tsx","50","1,4"
"lib\db\indexeddb.ts","50","1,4"
